Section depth,d1,Clear Cover,lc,a,a/d1,D_l,fyl,rho_l,D_t,s,fyt,rho_tv,rho_t,s/d1,f'c,Axial load(P),Axial load ratio,Vp1/Vo1,ln/h,rholfyl/fc,rhotfyt/fc,theta_y,theta_c,theta_u,V_y,V_c,V_u,theta_E,V_E,a,b,c
16,14.5,0.87,96,48,3.310344828,0.75,68005,0.025310683,0.251968504,5,47003.2,0.002295553,0.000831058,0.344827586,4700.9,114.1425,0.063231742,1.45755379,6,0.366153927,0.008309555,0.008355054,0.011192708,0.012922296,607.13,724.16696,579.333568,0.028208333,181.04174,0.004567242,0.019853279,181.04174
11.81102362,10.23602362,1.02,31.49606299,31.49606299,3.07698225,0.62992126,55114.5,0.026808257,0.236220472,9.842519685,57507,0.001824224,0.000753982,0.961556953,4718.3,20.25,0.03076553,1.806117742,2.666666667,0.313147464,0.00918959,0.005251025,0.00991375,0.015824924,92.55,107.7910065,86.2328052,0.0198325,71.45032455,0.010573899,0.014581475,71.45032455
6.88976378,5.89776378,0.56,13.77952756,6.88976378,1.168199344,0.394,56260,0.030821581,0.236220472,4.330708661,45240,0.007012684,0.002937593,0.734296731,3770,17.915625,0.100111034,1.332610066,2,0.459952824,0.035251116,0.002366199,0.004445,0.009666514,40.14,64.09713858,51.27771086,0.011129,64.01714215,0.007300315,0.008762801,64.01714215
6.88976378,5.89776378,0.56,13.77952756,6.88976378,1.168199344,0.394,49880,0.030821581,0.236220472,4.330708661,45240,0.007012684,0.002937593,0.734296731,4741.5,22.5315,0.100107286,1.191129553,2,0.324239262,0.02802841,0.00171634,0.0045458,0.009940244,40.35,79.88643371,63.90914697,0.0142558,54.1575823,0.008223904,0.01253946,54.1575823
6.88976378,5.89776378,0.5,13.77952756,6.88976378,1.168199344,0.512,49880,0.069397068,0.236220472,0.787401575,46690,0.037797082,0.016156762,0.133508496,6017.5,28.5975,0.100115958,1.185934083,2,0.575243166,0.1253609,0.005069289,0.014078,0.02554301,85.76,160.1928487,128.1542789,0.037242,84.31623596,0.020473721,0.032172711,84.31623596
11.811,10.039,1.22,47.244,23.622,2.353023209,0.63,58290,0.026815067,0.236,3.937,56840,0.004743678,0.001881446,0.392170535,4451.5,124.224,0.200044121,1.145191371,4,0.35112889,0.024023675,0.010192328,0.0253868,0.035583164,179.94,228.3898042,182.7118434,0.1692,65.966806,0.025390836,0.159007672,65.966806
11.811,10.039,1.22,47.244,23.622,2.353023209,0.63,58290,0.026815067,0.236,7.874,56840,0.002371839,0.000940723,0.78434107,4451.5,124.224,0.200044121,1.353921713,4,0.35112889,0.012011838,0.00778017,0.0212252,0.028558937,159.54,210.5905988,168.4724791,0.04000508,9.9995536,0.020778767,0.03222491,9.9995536
11.811,10.039,1.22,47.244,23.622,2.353023209,0.63,58290,0.026815067,0.236,3.937,56840,0.004743678,0.001881446,0.392170535,4451.5,186.337,0.300067792,1.085303998,4,0.35112889,0.024023675,0.009938341,0.020968,0.029043758,202.82,247.8889337,198.311147,0.04000508,138.605912,0.019105417,0.030066739,138.605912
11.811,10.236,1.08,35.433,17.7165,1.730803048,0.5,49300,0.016890317,0.25,2.953,85115,0.006882471,0.002814814,0.288491598,1957.5,81.94,0.300068806,0.618756165,3,0.425385761,0.122392283,0.004568157,0.01010002,0.02658984,131.42,171.1923576,136.9538861,0.079981938,32.8544052,0.022021683,0.075413781,32.8544052
11.811,10.236,1.08,35.433,17.7165,1.730803048,0.5,49300,0.016890317,0.25,2.953,55680,0.006882471,0.002814814,0.288491598,2610,109.25,0.300059651,0.765857867,3,0.319039321,0.060049365,0.004789824,0.010142242,0.01881079,152.93,229.3897596,183.5118077,0.02997206,86.6642806,0.014020966,0.025182236,86.6642806
11.811,10.236,1.08,35.433,17.7165,1.730803048,0.5,49300,0.016890317,0.25,2.953,55680,0.006882471,0.002814814,0.288491598,2610,72.835,0.200044345,0.800540358,3,0.319039321,0.060049365,0.00353095,0.016238144,0.033481904,120.27,216.4903354,173.1922684,0.16199588,6.6678518,0.029950954,0.15846493,6.6678518
11.811,10.236,1.08,23.622,11.811,1.153868699,0.5,64815,0.016890317,0.25,1.969,57710,0.010321958,0.004221507,0.192360297,4016.5,121.392,0.21665512,0.906289748,2,0.272562155,0.060655588,0.011533086,0.02299,0.025876869,303.99,303.9864294,243.1891436,0.082042164,32.5697204,0.014343783,0.070509078,32.5697204
11.811,10.236,1.08,35.433,17.7165,1.730803048,0.5,64815,0.022520422,0.25,5.906,57710,0.003441235,0.001407407,0.576983197,4081.75,121.392,0.213191716,1.233657577,3,0.357606701,0.019898685,0.005171232,0.010568,0.021407434,103.39,208.8906747,167.1125398,0.037987187,11.1116036,0.016236202,0.032815955,11.1116036
11.811,10.236,1.08,23.622,11.811,1.153868699,0.5,64815,0.016890317,0.25,1.969,57710,0.010321958,0.004221507,0.192360297,3784.5,121.392,0.22993666,0.898447897,2,0.289270946,0.064373938,0.009204081,0.0271045,0.045645106,168.32,340.0848179,272.0678543,0.08001016,55.424572,0.036441025,0.070806079,55.424572
11.811,10.039,1.21,35.433,17.7165,1.764767407,0.63,55100,0.026815067,0.25,3.937,55100,0.00530732,0.00211129,0.392170535,3842.5,144.76,0.270060681,1.135457906,3,0.384517942,0.030275102,0.005333576,0.015382,0.021235818,123.58,249.6888534,199.7510827,0.060000564,2.9536048,0.015902242,0.054666988,2.9536048
15.748,13.779,1.16,35.433,35.433,2.571521881,0.874,79315,0.038706323,0.368,7.087,51475,0.004473326,0.001906021,0.514333406,3639.5,180.56,0.200045603,1.659532157,2.25,0.843520266,0.026957668,0.004685192,0.00953,0.015337515,175.2,353.9841974,283.187358,0.085993283,40.9990594,0.010652323,0.081308091,40.9990594
12.008,10.008,1.38,34.488,34.488,3.446043165,0.748031496,71920,0.024463995,0.248031496,5,50025,0.0033,0.003229773,0.49960032,4640,0,0,0.967989351,2.872085276,0.379191923,0.03482099,0.011517373,0.02604964,0.05522073,58.42,79.222442,63.3779536,0.057440269,62.141354,0.043703357,0.045922896,62.141354
18,15.5,1.5,116,58,3.741935484,1.252,48000,0.0303,0.375,18,58000,0.00159,0.00068,1.161290323,3900,113,0.09,1.923891022,6.444444444,0.372923077,0.010112821,0.009105631,0.021042672,0.025238841,193.05,276.9876347,221.5901078,0.062,69.24690868,0.01613321,0.052894369,69.24690868
11.811,10.236,1.02,25.591,25.591,2.500097694,0.63,55114.5,0.026815067,0.2362,5.906,57507,0.003039591,0.001256318,0.576983197,4170.2,20.232,0.03477832,1.334045048,2.166709,0.354395235,0.017324608,0.006788668,0.015156657,0.022050476,154.72,186.7916612,149.433329,0.025656473,88.85603329,0.015261808,0.018867805,88.85603329
7.874,6.935023622,0.47,23.622,11.811,1.703094415,0.5,53795,0.012667738,0.216535433,0.787401575,49880,0.014,0.011879171,0.113539855,3045,66.0912,0.350078564,0.439612063,3,0.223796705,0.194592134,0.010322689,0.021113369,0.033855907,97.91,98.90559355,79.12447484,0.081185336,34.46047229,0.023533218,0.070862647,34.46047229
7.874,6.909433071,0.43,31.496,15.748,2.279202916,0.62992126,53505,0.020106273,0.216535433,1.968503937,45820,0.006,0.004751668,0.284900934,4640,41.1384,0.143000842,0.793197776,4,0.231850461,0.046922722,0.014079415,0.03626524,0.077550329,73.24,99.31958753,79.45567002,0.087355537,56.90947012,0.063470914,0.073276122,56.90947012
7.874,6.909,0.49,31.496,15.748,2.279345781,0.511811024,53650,0.026546564,0.216535433,1.968503937,45820,0.006,0.004751668,0.284918792,4335.5,41.1384,0.15304438,0.954452585,4,0.328502631,0.050218297,0.010179641,0.026256033,0.046412621,69.58,107.6251776,86.10014208,0.066980569,53.80960851,0.03623298,0.056800928,53.80960851
6.299,5.423015748,0.49,25.197,12.598,2.323061666,0.374015748,49445,0.022152178,0.196850394,1.57480315,81055,0.007,0.00613613,0.290392509,3059.5,97.1136,0.799993355,0.240877186,4.000158755,0.358004393,0.162563823,0.005765053,0.020927491,0.028740831,51.83,57.65240849,46.12192679,0.029522165,44.96698725,0.022975778,0.023757112,44.96698725
6.299,5.423015748,0.49,25.197,12.598,2.323061666,0.374015748,49445,0.022152178,0.196850394,1.57480315,81055,0.018,0.010474374,0.290392509,3059.5,109.2528,0.899992524,0.128657328,4.000158755,0.358004393,0.277496449,0.007863742,0.04044926,0.069349526,43.46,64.222133,51.3777064,0.076886931,51.52367853,0.061485784,0.069023189,51.52367853
6.299,5.423015748,0.49,37.795,18.898,3.484776899,0.374015748,49445,0.022152178,0.196850394,1.57480315,81055,0.007,0.00613613,0.290392509,4176,116.2216,0.701428073,0.245949311,6.000158755,0.262287941,0.119100579,0.007561481,0.015316047,0.030400847,22.3,45.04701036,36.03760829,0.029436963,42.33609936,0.022839366,0.021875482,42.33609936
6.299,5.423015748,0.49,37.795,18.898,3.484776899,0.374015748,49445,0.022152178,0.196850394,1.57480315,81055,0.007,0.00613613,0.290392509,4176,116.2216,0.701428073,0.245949311,6.000158755,0.262287941,0.119100579,0.007143439,0.015884905,0.031924858,39.39,51.99469843,41.59575874,0.028905675,49.29980094,0.024781419,0.021762236,49.29980094
7.874,6.702740157,0.75,23.622,11.811,1.762115153,0.374015748,52345,0.02126474,0.236220472,2.755905512,61770,0.009,0.008078397,0.411161025,3741,59.572,0.256840586,0.560948262,3,0.297541517,0.133387485,0.006875973,0.03014986,0.052412791,91.9,129.9741799,103.9793439,0.060342054,80.50539184,0.045536818,0.053466081,80.50539184
7.874,6.702740157,0.75,23.622,11.811,1.762115153,0.374015748,52345,0.02126474,0.236220472,2.755905512,61770,0.009,0.008078397,0.411161025,3741,142.9728,0.616417406,0.404771312,3,0.297541517,0.133387485,0.005419746,0.015094404,0.02016764,104.65,124.8244098,99.85952784,0.030159174,100.7155217,0.014747894,0.024739428,100.7155217
